Daily_Time_Spent_on_Site,Age,Area_Income,Daily_Internet_Usage,Ad_Topic_Line,Gender,Country,Timestamp,Clicked_on_Ad,Continent,Parent_Country,Hour,Day
47.74,52,32635.7,186.37,Business-focused transitional solution,Male,Cuba,2016-07-19 08:32:00,1,North America,Cuba,08:00,Tuesday
65.77,34,59785.94,168.34,Cloned explicit middleware,Male,Namibia,2016-02-27 08:52:00,0,Africa,Namibia,08:00,Saturday
56.39,46,40468.53,253.48,Automated multi-state toolset,Female,Belgium,2016-04-06 14:16:00,0,Europe,Belgium,14:00,Wednesday
76.64,31,56180.93,207.17,Focused 3rdgeneration pricing structure,Female,Croatia,2016-06-21 14:32:00,0,Europe,Croatia,14:00,Tuesday
57.99,34,40763.13,168.34,Cloned explicit middleware,Male,Namibia,2016-02-08 14:02:00,0,Africa,Namibia,14:00,Monday
55.92,42,60514.05,236.87,Multi-layered tangible portal,Female,Madagascar,2016-04-06 11:24:00,0,Africa,Madagascar,11:00,Wednesday
70.09,45,59610.81,227.73,Secured 24hour policy,Female,Brazil,2016-04-08 14:35:00,1,South America,Brazil,14:00,Friday
72.23,30,57877.15,244.91,Cross-platform logistical pricing structure,Male,Bolivia,2016-05-08 10:25:00,0,South America,Bolivia,10:00,Sunday
61.22,28,39799.73,212.87,Sharable reciprocal project,Male,Barbados,2016-07-08 03:47:00,0,North America,Barbados,03:00,Friday
55.6,35,42993.48,221.18,Optional multi-state hardware,Male,Hong Kong,2016-03-18 13:22:00,0,Asia,Hong Kong,13:00,Friday
59.05,33,43974.49,135.67,Customer-focused fault-tolerant implementation,Male,Vanuatu,2016-03-24 06:36:00,1,Oceania,Vanuatu,06:00,Thursday
55.79,22,21644.91,136.21,Function-based context-sensitive secured line,Female,Brazil,2016-07-03 04:11:00,0,South America,Brazil,04:00,Sunday
68.01,33,49101.67,204.27,Focused coherent success,Male,Vanuatu,2016-02-06 17:48:00,1,Oceania,Vanuatu,17:00,Saturday
59.51,40,66574.0,232.78,Sharable reciprocal project,Male,Ghana,2016-03-18 13:00:00,0,Africa,Ghana,13:00,Friday
81.32,49,39031.89,195.69,Streamlined homogeneous analyzer,Male,Netherlands,2016-04-04 20:01:00,1,Europe,Netherlands,20:00,Monday
63.45,45,59886.58,187.76,Enhanced homogeneous moderator,Male,Turkey,2016-02-05 16:50:00,1,Asia,Turkey,16:00,Friday
72.19,39,58287.86,225.99,Business-focused real-time toolset,Male,Hong Kong,2016-04-07 15:18:00,0,Asia,Hong Kong,15:00,Thursday
53.68,37,23936.86,109.29,Phased content-based middleware,Male,Belize,2016-07-08 03:47:00,0,North America,Belize,03:00,Friday
41.73,28,67301.39,120.49,Down-sized bandwidth-monitored core,Female,American Samoa,2016-06-21 14:32:00,0,Oceania,American Samoa,14:00,Tuesday
82.07,43,32635.7,198.45,Optimized upward-trending productivity,Male,Turkey,2016-04-03 21:13:00,1,Asia,Turkey,21:00,Sunday
43.49,37,23936.86,195.69,Cross-group non-volatile secured line,Female,Australia,2016-01-05 16:26:00,0,Oceania,Australia,16:00,Tuesday
48.03,40,63394.41,221.98,Configurable tertiary capability,Female,Albania,2016-07-13 16:12:00,1,Europe,Albania,16:00,Wednesday
49.42,45,69428.73,252.36,Synchronized systemic hierarchy,Female,Qatar,2016-04-06 11:24:00,0,Asia,Qatar,11:00,Wednesday
53.92,28,70492.6,221.79,Managed zero tolerance concept,Male,Luxembourg,2016-03-17 05:00:00,0,Europe,Luxembourg,05:00,Thursday
73.1,26,56694.12,131.68,Configurable dynamic secured line,Female,Austria,2016-05-15 13:18:00,0,Europe,Austria,13:00,Sunday
54.08,31,56180.93,240.64,Balanced empowering success,Male,Croatia,2016-06-02 21:02:00,0,Europe,Croatia,21:00,Thursday
46.61,50,49957.0,122.31,Reverse-engineered maximized focus group,Female,Bangladesh,2016-04-04 18:36:00,1,Asia,Bangladesh,18:00,Monday
34.3,34,34191.23,187.09,Cloned explicit middleware,Male,Equatorial Guinea,2016-04-05 18:02:00,1,Africa,Equatorial Guinea,18:00,Tuesday
55.6,39,37334.78,209.91,Networked asymmetric infrastructure,Male,Mongolia,2016-01-08 09:32:00,1,Asia,Mongolia,09:00,Friday
82.07,55,57868.44,187.76,Inverse high-level capability,Male,Northern Mariana Islands,2016-04-21 09:30:00,1,Oceania,United States of America,09:00,Thursday
56.39,46,69646.35,198.5,Proactive actuating Graphical User Interface,Male,Ireland,2016-06-12 21:21:00,0,Europe,Ireland,21:00,Sunday
54.97,29,53431.35,217.1,Centralized 24hour synergy,Male,Uganda,2016-01-14 00:23:00,0,Africa,Uganda,00:00,Thursday
75.55,39,48335.2,258.62,Cloned object-oriented benchmark,Female,Micronesia,2016-05-08 22:24:00,1,Oceania,Micronesia,22:00,Sunday
44.78,25,50506.44,241.03,Pre-emptive next generation Internet solution,Male,United States Minor Outlying Islands,2016-04-28 02:55:00,0,North America,United States of America,02:00,Thursday
73.19,33,74535.94,120.75,Function-based incremental standardization,Female,Cameroon,2016-01-14 09:27:00,0,Africa,Cameroon,09:00,Thursday
54.88,50,39616.0,226.79,Focused coherent success,Male,Iran,2016-04-03 21:13:00,1,Asia,Iran,21:00,Sunday
55.6,36,18368.57,115.26,Total cohesive moratorium,Male,Myanmar,2016-01-03 16:01:00,1,Asia,Myanmar,16:00,Sunday
43.49,37,66187.58,190.17,Polarized analyzing concept,Female,Saint Vincent and the Grenadines,2016-02-10 19:20:00,1,North America,Saint Vincent and the Grenadines,19:00,Wednesday
74.59,42,60514.05,238.58,Innovative interactive portal,Female,Czech Republic,2016-04-06 11:24:00,1,Europe,Czech Republic,11:00,Wednesday
43.49,37,53058.91,230.52,Centralized logistical secured line,Female,Croatia,2016-02-12 08:46:00,0,Europe,Croatia,08:00,Friday
50.08,29,69718.19,120.06,Programmable uniform website,Female,United Arab Emirates,2016-01-05 16:26:00,0,Asia,United Arab Emirates,16:00,Tuesday
50.08,40,57330.43,140.46,User-centric attitude-oriented adapter,Female,Cambodia,2016-06-11 09:37:00,1,Asia,Cambodia,09:00,Saturday
50.19,36,32549.95,141.52,Ameliorated actuating workforce,Male,Indonesia,2016-01-03 16:01:00,1,Asia,Indonesia,16:00,Sunday
73.93,33,43974.49,196.77,Multi-tiered foreground Graphic Interface,Female,Brazil,2016-05-12 21:32:00,1,South America,Brazil,21:00,Thursday
39.3,29,53431.35,158.56,Mandatory coherent groupware,Female,Chile,2016-01-14 00:23:00,0,South America,Chile,00:00,Thursday
55.6,54,53188.69,182.2,Virtual scalable secured line,Female,South Africa,2016-01-16 23:37:00,1,Africa,South Africa,23:00,Saturday
74.63,27,66815.54,214.42,Monitored dynamic instruction set,Female,Estonia,2016-07-18 01:36:00,0,Europe,Estonia,01:00,Monday
83.97,41,57846.68,227.63,Fully-configurable foreground solution,Male,Turkey,2016-01-08 09:32:00,0,Asia,Turkey,09:00,Friday
68.01,33,56782.18,227.37,Synchronized multi-tasking ability,Male,Australia,2016-07-14 22:43:00,1,Oceania,Australia,22:00,Thursday
56.39,46,58966.22,253.48,Programmable uniform website,Male,Australia,2016-01-18 02:51:00,0,Oceania,Australia,02:00,Monday
80.3,37,23936.86,181.02,Cloned object-oriented benchmark,Female,Moldova,2016-05-08 22:24:00,1,Europe,Moldova,22:00,Sunday
61.22,36,50628.31,115.26,Robust web-enabled attitude,Male,Netherlands Antilles,2016-06-20 08:22:00,0,North America,Netherlands,08:00,Monday
47.74,32,69481.85,178.92,Business-focused transitional solution,Male,Svalbard & Jan Mayen Islands,2016-01-09 03:45:00,0,Europe,Norway,03:00,Saturday
88.04,38,64564.07,206.98,Customizable homogeneous contingency,Male,Western Sahara,2016-01-15 19:40:00,1,Africa,Western Sahara,19:00,Friday
59.59,34,59785.94,203.44,Function-based incremental standardization,Female,Turkmenistan,2016-02-11 20:45:00,1,Asia,Turkmenistan,20:00,Thursday
40.04,34,59785.94,160.03,Cloned explicit middleware,Female,Brunei Darussalam,2016-04-27 04:28:00,1,Asia,Brunei Darussalam,04:00,Wednesday
33.33,25,50671.6,105.86,Up-sized maximized model,Male,Hong Kong,2016-07-08 17:14:00,0,Asia,Hong Kong,17:00,Friday
89.05,49,64564.07,187.76,Reactive composite project,Male,Tanzania,2016-06-24 08:42:00,1,Africa,Tanzania,08:00,Friday
84.0,36,70592.81,141.52,Proactive bandwidth-monitored policy,Male,Kazakhstan,2016-06-20 08:22:00,0,Asia,Kazakhstan,08:00,Monday
52.68,32,69481.85,118.27,Stand-alone radical throughput,Male,Saudi Arabia,2016-04-06 21:20:00,1,Asia,Saudi Arabia,21:00,Wednesday
75.84,45,70053.27,157.04,Function-based context-sensitive secured line,Male,Turkey,2016-07-17 01:13:00,1,Asia,Turkey,01:00,Sunday
81.59,45,45716.48,174.88,Secured 24hour policy,Female,Brazil,2016-06-30 00:19:00,1,South America,Brazil,00:00,Thursday
59.05,50,43974.49,123.13,Function-based context-sensitive secured line,Female,Palau,2016-06-03 03:36:00,1,Oceania,Palau,03:00,Friday
86.06,35,51119.93,143.79,Total cohesive moratorium,Male,Moldova,2016-03-04 10:13:00,1,Europe,Moldova,10:00,Friday
41.73,28,71222.4,204.79,Polarized bifurcated array,Female,Albania,2016-03-20 02:44:00,0,Europe,Albania,02:00,Sunday
40.47,35,25603.93,236.87,Optional multi-state hardware,Female,Ukraine,2016-07-18 01:36:00,0,Europe,Ukraine,01:00,Monday
61.84,38,57868.44,170.13,Profit-focused dedicated utilization,Female,Lao People's Democratic Republic,2016-01-15 19:40:00,1,Asia,Lao People's Democratic Republic,19:00,Friday
59.51,30,57877.15,219.94,Synchronized systemic hierarchy,Female,Qatar,2016-06-29 10:50:00,0,Asia,Qatar,10:00,Wednesday
79.91,30,57877.15,111.94,De-engineered attitude-oriented projection,Male,Bolivia,2016-03-18 13:00:00,0,South America,Bolivia,13:00,Friday
39.3,29,53431.35,158.56,Vision-oriented attitude-oriented Internet solution,Female,Uganda,2016-02-03 19:12:00,1,Africa,Uganda,19:00,Wednesday
44.4,32,55424.24,172.83,Assimilated fault-tolerant hub,Female,Kuwait,2016-04-28 22:54:00,0,Asia,Kuwait,22:00,Thursday
54.43,37,53058.91,258.62,Vision-oriented attitude-oriented Internet solution,Female,Uganda,2016-06-20 14:20:00,1,Africa,Uganda,14:00,Monday
61.22,45,60315.19,137.24,Enhanced homogeneous moderator,Male,Switzerland,2016-07-10 17:24:00,1,Europe,Switzerland,17:00,Sunday
59.59,33,36752.24,115.35,Synergistic stable infrastructure,Female,Greece,2016-05-12 21:32:00,1,Europe,Greece,21:00,Thursday
79.6,23,62784.85,146.8,Team-oriented executive core,Female,Czech Republic,2016-01-14 14:00:00,1,Europe,Czech Republic,14:00,Thursday
37.0,32,55424.24,219.94,Focused upward-trending core,Female,Bahamas,2016-04-28 22:54:00,0,North America,Bahamas,22:00,Thursday
55.6,35,54286.1,236.87,Multi-channeled attitude-oriented toolset,Female,Mayotte,2016-06-20 14:20:00,1,Africa,Mayotte,14:00,Monday
40.04,23,25739.09,172.81,Centralized logistical secured line,Female,Gabon,2016-03-20 07:12:00,0,Africa,Gabon,07:00,Sunday
64.75,25,50506.44,176.28,Customizable multi-tasking website,Female,Lao People's Democratic Republic,2016-04-28 02:55:00,0,Asia,Lao People's Democratic Republic,02:00,Thursday
51.56,45,74903.41,124.67,Assimilated multi-state paradigm,Female,Switzerland,2016-03-05 12:03:00,1,Europe,Switzerland,12:00,Saturday
88.04,44,50723.67,120.63,Future-proofed fresh-thinking conglomeration,Female,Congo,2016-03-01 22:06:00,0,Africa,Congo,22:00,Tuesday
70.58,28,72948.76,230.52,Intuitive exuding service-desk,Female,Chile,2016-01-13 20:38:00,1,South America,Chile,20:00,Wednesday
81.22,29,56113.37,216.49,Front-line heuristic data-warehouse,Female,Montenegro,2016-01-12 03:28:00,0,Europe,Montenegro,03:00,Tuesday
79.54,25,50671.6,241.03,Integrated interactive support,Male,Korea,2016-03-11 06:49:00,0,Asia,South Korea,06:00,Friday
42.04,37,67132.46,201.58,Realigned global initiative,Female,Burundi,2016-01-08 22:47:00,0,Africa,Burundi,22:00,Friday
82.07,41,57846.68,126.39,Robust uniform framework,Female,Bulgaria,2016-02-27 15:04:00,1,Europe,Bulgaria,15:00,Saturday
44.33,39,38067.08,124.44,Configurable logistical Graphical User Interface,Female,Serbia,2016-03-07 20:02:00,0,Europe,Serbia,20:00,Monday
55.6,24,57691.95,182.2,Triple-buffered regional toolset,Male,Somalia,2016-07-12 10:56:00,0,Africa,Somalia,10:00,Tuesday
65.59,39,59457.52,222.25,Multi-channeled scalable moratorium,Male,Sri Lanka,2016-01-03 16:01:00,0,Asia,Sri Lanka,16:00,Sunday
57.99,49,45632.51,168.34,Up-sized bi-directional infrastructure,Male,Bahamas,2016-03-11 00:05:00,0,North America,Bahamas,00:00,Friday
52.68,35,25603.93,236.87,Programmable asymmetric data-warehouse,Female,Hong Kong,2016-07-18 01:36:00,0,Asia,Hong Kong,01:00,Monday
50.08,40,73882.91,132.63,Synergized coherent interface,Male,Honduras,2016-06-20 08:22:00,0,North America,Honduras,08:00,Monday
65.07,34,59785.94,160.03,Cloned explicit middleware,Female,Turkmenistan,2016-04-05 18:02:00,1,Asia,Turkmenistan,18:00,Tuesday
80.3,52,33951.63,130.86,Devolved regional moderator,Male,Cuba,2016-06-16 02:01:00,1,North America,Cuba,02:00,Thursday
70.44,34,59785.94,160.03,Cloned explicit middleware,Female,Brunei Darussalam,2016-02-20 09:54:00,1,Asia,Brunei Darussalam,09:00,Saturday
70.39,27,39193.45,203.9,Virtual impactful algorithm,Male,Estonia,2016-03-23 21:06:00,0,Europe,Estonia,21:00,Wednesday
72.23,40,41232.89,120.37,Vision-oriented real-time framework,Female,Cameroon,2016-05-02 07:00:00,0,Africa,Cameroon,07:00,Monday
50.08,36,29398.61,140.46,Multi-layered fresh-thinking neural-net,Female,Montenegro,2016-07-06 05:34:00,0,Europe,Montenegro,05:00,Wednesday
42.04,37,53058.91,181.02,Profound dynamic attitude,Female,Belgium,2016-02-10 19:20:00,0,Europe,Belgium,19:00,Wednesday
79.52,38,64564.07,122.04,Synergized clear-thinking protocol,Male,Western Sahara,2016-02-13 07:53:00,1,Africa,Western Sahara,07:00,Saturday
78.7,32,55424.24,172.83,Focused upward-trending core,Female,Hungary,2016-06-09 21:43:00,1,Europe,Hungary,21:00,Thursday
51.24,36,29398.61,141.52,Up-sized incremental encryption,Female,Uganda,2016-03-12 07:18:00,1,Africa,Uganda,07:00,Saturday
79.52,41,57846.68,259.76,Face-to-face even-keeled website,Female,Hong Kong,2016-07-05 20:16:00,0,Asia,Hong Kong,20:00,Tuesday
70.39,54,73049.3,117.33,Front-line bandwidth-monitored capacity,Male,Libyan Arab Jamahiriya,2016-01-01 05:31:00,1,Africa,Libya,05:00,Friday
66.08,33,77988.71,215.18,Stand-alone well-modulated product,Female,Indonesia,2016-06-17 20:18:00,0,Asia,Indonesia,20:00,Friday
61.22,31,56180.93,207.17,Focused 3rdgeneration pricing structure,Female,Singapore,2016-07-11 09:32:00,0,Asia,Singapore,09:00,Monday
67.56,28,71222.4,204.79,Intuitive exuding service-desk,Female,Croatia,2016-05-06 21:07:00,0,Europe,Croatia,21:00,Friday
83.71,38,57868.44,130.83,Customizable homogeneous contingency,Male,Western Sahara,2016-02-13 07:53:00,1,Africa,Western Sahara,07:00,Saturday
72.23,33,57868.44,191.82,Integrated leadingedge frame,Male,Sri Lanka,2016-02-06 17:48:00,1,Asia,Sri Lanka,17:00,Saturday
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,Female,Eritrea,2016-04-27 04:28:00,1,Africa,Eritrea,04:00,Wednesday
86.06,35,25603.93,109.07,Optional multi-state hardware,Female,Albania,2016-06-29 02:48:00,1,Europe,Albania,02:00,Wednesday
70.58,31,58235.21,207.17,Programmable uniform website,Female,Turks and Caicos Islands,2016-02-26 22:46:00,0,North America,Turks and Caicos Islands,22:00,Friday
54.97,33,55984.89,204.27,Compatible composite project,Male,Afghanistan,2016-07-14 22:43:00,1,Asia,Afghanistan,22:00,Thursday
55.6,39,38067.08,258.62,Vision-oriented attitude-oriented Internet solution,Female,Mayotte,2016-02-12 08:46:00,1,Africa,Mayotte,08:00,Friday
79.54,25,50506.44,241.03,Focused 24hour implementation,Male,Georgia,2016-03-18 13:00:00,0,Asia,Georgia,13:00,Friday
43.49,37,23936.86,181.02,Profound dynamic attitude,Female,Burundi,2016-01-08 22:47:00,0,Africa,Burundi,22:00,Friday
56.39,40,62669.59,117.3,Pre-emptive content-based frame,Male,Ethiopia,2016-03-23 06:00:00,1,Africa,Ethiopia,06:00,Wednesday
76.77,36,29398.61,222.25,Intuitive exuding service-desk,Female,Chad,2016-02-26 19:48:00,0,Africa,Chad,19:00,Friday
40.47,27,14548.06,190.17,User-friendly upward-trending intranet,Female,Poland,2016-02-10 19:20:00,1,Europe,Poland,19:00,Wednesday
78.36,34,40183.75,160.03,Cloned explicit middleware,Female,Turkmenistan,2016-03-11 00:05:00,0,Asia,Turkmenistan,00:00,Friday
43.49,37,61172.07,181.02,Cross-group non-volatile secured line,Male,Moldova,2016-03-23 21:06:00,0,Europe,Moldova,21:00,Wednesday
40.04,34,20592.99,168.34,Cloned explicit middleware,Female,Turkmenistan,2016-03-11 00:05:00,0,Asia,Turkmenistan,00:00,Friday
59.36,38,39031.89,195.69,Cross-group non-volatile secured line,Female,Burundi,2016-04-04 20:01:00,0,Africa,Burundi,20:00,Monday
40.04,23,40135.06,222.87,Centralized logistical secured line,Female,Czech Republic,2016-01-14 14:00:00,1,Europe,Czech Republic,14:00,Thursday
41.73,28,51501.38,120.49,Organized global flexibility,Male,Luxembourg,2016-04-08 22:40:00,0,Europe,Luxembourg,22:00,Friday
66.12,28,59448.44,230.52,Intuitive exuding service-desk,Female,Libyan Arab Jamahiriya,2016-06-20 14:20:00,1,Africa,Libya,14:00,Monday
84.73,36,76003.47,140.46,Total 5thgeneration standardization,Female,Guinea,2016-05-13 14:12:00,1,Africa,Guinea,14:00,Friday
43.6,39,75044.35,236.87,Business-focused real-time toolset,Female,Saint Pierre and Miquelon,2016-05-12 04:35:00,0,North America,Saint Pierre and Miquelon,04:00,Thursday
42.04,37,53058.91,129.31,Centralized logistical secured line,Female,Australia,2016-06-05 07:54:00,1,Oceania,Australia,07:00,Sunday
51.24,36,61610.05,124.44,Up-sized incremental encryption,Female,El Salvador,2016-01-03 16:01:00,1,North America,El Salvador,16:00,Sunday
71.84,39,37334.78,190.75,Managed zero tolerance concept,Male,American Samoa,2016-07-08 03:47:00,0,Oceania,American Samoa,03:00,Friday
84.73,26,60997.84,131.68,Decentralized client-driven data-warehouse,Female,Albania,2016-05-24 13:30:00,1,Europe,Albania,13:00,Tuesday
43.49,37,75180.2,181.02,Vision-oriented attitude-oriented Internet solution,Female,Australia,2016-02-10 19:20:00,1,Oceania,Australia,19:00,Wednesday
70.92,31,27262.51,217.37,User-friendly bandwidth-monitored attitude,Female,Czech Republic,2016-05-06 21:07:00,1,Europe,Czech Republic,21:00,Friday
80.3,37,67132.46,177.55,Vision-oriented attitude-oriented Internet solution,Female,Burundi,2016-07-13 21:31:00,0,Africa,Burundi,21:00,Wednesday
52.68,32,55424.24,178.92,Front-line fresh-thinking open system,Male,French Southern Territories,2016-01-18 02:51:00,0,Antarctica,France,02:00,Monday
69.77,35,66541.05,226.54,Optional multi-state hardware,Male,Hong Kong,2016-06-29 13:35:00,0,Asia,Hong Kong,13:00,Wednesday
80.47,33,52736.33,113.12,Adaptive contextually-based methodology,Male,Vanuatu,2016-03-24 06:36:00,0,Oceania,Vanuatu,06:00,Thursday
72.55,31,66348.95,124.44,Exclusive disintermediate task-force,Female,Mexico,2016-06-29 13:35:00,0,North America,Mexico,13:00,Wednesday
51.87,49,39031.89,195.69,Managed client-server access,Male,Afghanistan,2016-04-05 18:02:00,1,Asia,Afghanistan,18:00,Tuesday
81.98,22,63430.33,136.21,Customizable modular Internet solution,Female,United States of America,2016-01-29 07:14:00,0,North America,United States of America,07:00,Friday
